Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Pasadena Calif.,Engineering Construction,Dan L. Batrack,https://www.tetratech.com,Public,TTEK,$3107.3,$158.7,$3861.8,20000,$3107.3,$158.7,$2147.4,$989.3,5.1%,7.4%,16%,2.84,17.4%,11.3%,7.1%,67.7%,27.6%,12.9%,
U.S.,Dallas Texas,Engineering Construction,Thomas E. McCormick,https://www.primoriscorp.com,Public,PRIM,$3106.3,$82.3,$767.2,9700,$3106.3,$82.3,$1830.5,$628.5,2.7%,4.5%,13.1%,1.61,7.3%,5.7%,7.9%,17.6%,0.2%,11.5%,
U.S.,Lexington Ky.,Home Equipment Furnishings,Scott L. Thompson,https://www.tempursealy.com,Public,TPX,$3106,$189.5,$2277.2,7400,$3106,$189.5,$3061.8,$359.5,6.1%,6.2%,52.7%,3.42,87.9%,15.8%,11.8%,110.3%,9.7%,13.9%,
U.S.,Kansas City Mo.,Diversified Financials,Jeffrey J. Jones II,https://www.hrblock.com,Public,HRB,$3094.9,$422.5,$2710.1,44600,$3094.9,$422.5,$3299.9,$541.5,13.7%,12.8%,78%,2.04,-29.9%,3.5%,3.5%,-3.6%,-3.7%,4%,
U.S.,Greensboro N.C.,Semiconductors and Other Electronic Components,Robert A. Bruggeworth,https://www.qorvo.com,Public,QRVO,$3090.3,$133.1,$9327.7,8100,$3090.3,$133.1,$5808,$4359.7,4.3%,2.3%,3.1%,1.05,-,45.7%,-,91.4%,11.9%,19.8%,
U.S.,Irvine Calif.,Homebuilders,Douglas F. Bauer,https://www.tripointegroup.com,Public,TPH,$3083,$207.2,$1177,1386,$3083,$207.2,$3858.7,$2186.5,6.7%,5.4%,9.5%,1.47,-18.8%,20.4%,-,42.5%,0.4%,-,
U.S.,Lebanon Tenn.,Food Services,Sandra B. Cochran,https://www.crackerbarrel.com,Public,CBRL,$3072,$223.4,$1992.6,73000,$3072,$223.4,$1581.2,$604.7,7.3%,14.1%,36.9%,9.27,-9.9%,11%,12.4%,1%,7.2%,19.4%,
U.S.,Greenfield Ind.,Pharmaceuticals,Jeffrey N. Simmons,https://www.elanco.com,Public,ELAN,$3071,$67.9,$8923.1,6080,$3071,$67.9,$8985.8,$5546.9,2.2%,0.8%,1.2%,0.18,-,-,-,-6.6%,-,-,
U.S.,Raleigh N.C.,ScientificPhotographic and Control Equipment,Colin Shannon,https://www.prahs.com,Public,PRAH,$3066.3,$243,$5278.3,17500,$3066.3,$243,$3544.4,$1090,7.9%,6.9%,22.3%,3.68,58.6%,-,-,20.9%,35.6%,-,
U.S.,Tempe Ariz.,Energy,Mark R. Widmar,https://www.firstsolar.com,Public,FSLR,$3063.1,$-114.9,$3802.8,6600,$3063.1,$-114.9,$7515.7,$5096.8,-3.8%,-1.5%,-2.3%,-1.09,-180.1%,-,-,31.8%,4.6%,-8.5%,
U.S.,New York N.Y.,Entertainment,Joshua W. Sapan,https://www.amcnetworks.com,Public,AMCX,$3060.3,$380.5,$1350.7,2588,$3060.3,$380.5,$5596.7,$665.8,12.4%,6.8%,57.1%,6.67,-11.9%,13.3%,-,-28%,-9.1%,-,
U.S.,San Jose Calif.,Semiconductors and Other Electronic Components,Victor Peng,https://www.xilinx.com,Public,XLNX,$3059,$889.8,$19394.3,4433,$3059,$889.8,$5151.3,$2861.5,29.1%,17.3%,31.1%,3.47,74.4%,9.6%,9.8%,16.5%,20.3%,17.2%,
U.S.,Omaha Neb.,Energy,Todd A. Becker,https://www.gpreinc.com,Public,GPRE,$3055.4,$-166.9,$170,820,$3055.4,$-166.9,$1698.2,$751.9,-5.5%,-9.8%,-22.2%,-4.38,-1223.1%,-,-,19.7%,-7%,1.6%,
U.S.,Portland Ore.,Apparel,Timothy P. Boyle,https://www.columbia.com,Public,COLM,$3042.5,$330.5,$4702.7,8900,$3042.5,$330.5,$2931.6,$1849.4,10.9%,11.3%,17.9%,4.83,26.8%,20%,17.2%,20.3%,18.9%,19.6%,
U.S.,Irving Texas,Entertainment,Perry A. Sook,https://www.nexstar.tv,Public,NXST,$3039.3,$230.3,$2647.5,14891,$3039.3,$230.3,$13989.7,$2031.5,7.6%,1.6%,11.3%,4.8,-41.5%,18.9%,-,51.8%,19.9%,41.7%,
U.S.,Spring Texas,Mining Crude-Oil Production,William J. Way,https://www.swn.com,Public,SWN,$3038,$891,$914.4,923,$3038,$891,$6717,$3246,29.3%,13.3%,27.4%,1.65,77.4%,-8.8%,-,-29%,-38.4%,-25.9%,
U.S.,Lake Oswego Ore.,Transportation Equipment,William A. Furman,https://www.gbrx.com,Public,GBX,$3033.6,$71.1,$578.3,17100,$3033.6,$71.1,$2990.6,$1276.7,2.3%,2.4%,5.6%,2.14,-54.3%,-9.1%,-,-15.4%,-7.6%,13.4%,
U.S.,New York N.Y.,Information Technology Services,Robert Cagnazzi,https://www.presidio.com,Private,,$3026.1,$35.2,$,2900,$3026.1,$35.2,$2870.9,$638.4,1.2%,1.2%,5.5%,0.4,-71.2%,-,-,-,-,-,
U.S.,Fort Lauderdale Fla.,Computer Software,David J. Henshall,https://www.citrix.com,Public,CTXS,$3010.6,$681.8,$17319.8,8400,$3010.6,$681.8,$4388.9,$837.7,22.6%,15.5%,81.4%,5.03,27.7%,27.9%,17.2%,9.7%,17.4%,13.1%,
U.S.,Columbus Ohio,ScientificPhotographic and Control Equipment,Olivier A. Filliol,https://www.mt.com,Public,MTD,$3008.7,$561.1,$16558.8,15525,$3008.7,$561.1,$2789.3,$420.8,18.6%,20.1%,133.3%,22.47,13%,14.5%,16.1%,40.3%,21.3%,22.4%,
U.S.,Dallas Texas,Transportation Equipment,E. Jean Savage,https://www.trin.net,Public,TRN,$3005.1,$137.6,$1923.6,11875,$3005.1,$137.6,$8701.4,$2030.1,4.6%,1.6%,6.8%,1.07,-,-23.9%,-,10.9%,4.2%,15.4%,
U.S.,New York N.Y.,Insurance: Life Health (Mutual),John R. Greed,https://www.mutualofamerica.com,Private,,$3004.7,$-21.2,$,1202,$3004.7,$-21.2,$23657.9,$992.7,-0.7%,-0.1%,-2.1%,-,-,-,-,-,-,-,
U.S.,Cleveland Ohio,Industrial Machinery,Christopher L. Mapes,https://www.lincolnelectric.com,Public,LECO,$3003.3,$293.1,$4150.8,11000,$3003.3,$293.1,$2371.2,$818.2,9.8%,12.4%,35.8%,4.68,7.1%,8%,23.4%,25.4%,9.1%,15.8%,
U.S.,Houston Texas,Specialty Retailers: Apparel,Dinesh S. Lathi,https://www.tailoredbrands.com,Public,TLRD,$2998.7,$-82.3,$84.3,16500,$2998.7,$-82.3,$2419,$-98.3,-2.7%,-3.4%,-,-1.65,-200.6%,-,-,-66.6%,-34.6%,-12.1%,
U.S.,Milwaukee Wis.,Electronics Electrical Equip.,Kevin J. Wheeler,https://www.aosmith.com,Public,AOS,$2992.7,$370,$6125.4,15100,$2992.7,$370,$3058,$1666.8,12.4%,12.1%,22.2%,2.22,-14%,14.3%,14.7%,13.6%,12.5%,22.4%,
U.S.,Fort Smith Ark.,Trucking Truck Leasing,Judy R. McReynolds,https://www.arcb.com,Public,ARCB,$2988.3,$40,$443.9,13000,$2988.3,$40,$1651.2,$763,1.3%,2.4%,5.2%,1.51,-39.8%,-2.2%,-,-18.6%,-8.9%,0.2%,
U.S.,Scottsdale Ariz.,Internet Services and Retailing,Aman Bhutani,https://www.godaddy.com,Public,GDDY,$2988.1,$137,$9988.4,7024,$2988.1,$137,$6301.2,$772,4.6%,2.2%,17.7%,0.76,68.9%,-,-,3.5%,-,-,
U.S.,St. George Utah,Airlines,Russell A. Childs,https://www.skywest.com,Public,SKYW,$2972,$340.1,$1316.2,13700,$2972,$340.1,$6657.1,$2175,11.4%,5.1%,15.6%,6.62,24.9%,-,16.2%,46.6%,38.4%,15.6%,
U.S.,Boston Mass.,Real estate,Owen D. Thomas,https://www.bostonproperties.com,Public,BXP,$2960.6,$521.5,$14306.9,760,$2960.6,$521.5,$21284.9,$5684.7,17.6%,2.5%,9.2%,3.3,-10.8%,3.1%,6.5%,26%,4.7%,10.7%,
U.S.,Oklahoma City Okla.,Pipelines,Rodney J. Sailor,https://www.enablemidstream.com,Public,ENBL,$2960,$396,$1118.5,1735,$2960,$396,$12266,$7372,13.4%,3.2%,5.4%,0.82,-26.1%,-8.7%,-,-17.5%,-3.6%,-,
U.S.,Elgin Ill.,Industrial Machinery,Timothy J. FitzGerald,https://www.middleby.com,Public,MIDD,$2959.4,$352.2,$3196.1,9778,$2959.4,$352.2,$5002.1,$1946.8,11.9%,7%,18.1%,6.33,11.1%,13.2%,19.1%,6.6%,2%,21%,
U.S.,Houston Texas,Oil and Gas Equipment Services,David A. Cherechinsky,https://www.distributionnow.com,Public,DNOW,$2951,$-97,$563.5,4300,$2951,$-97,$1591,$1144,-3.3%,-6.1%,-8.5%,-0.89,-289.4%,-,-,-3.4%,-15.3%,-,
U.S.,Blue Bell Pa.,Information Technology Services,Peter A. Altabef,https://www.unisys.com,Public,UIS,$2948.7,$-17.2,$776.8,20800,$2948.7,$-17.2,$2504,$-1265.4,-0.6%,-0.7%,-,-0.31,-123.8%,-,-,2%,-16.6%,-11.1%,
U.S.,Van Buren Township Mich.,Motor Vehicles & Parts,Sachin S. Lawande,https://www.visteon.com,Public,VC,$2945,$70,$1344.4,11000,$2945,$70,$2271,$480,2.4%,3.1%,14.6%,2.48,-55.1%,-,-,43.6%,6.6%,-,
U.S.,Arlington Va.,Education,,https://www.ghco.com,Public,GHC,$2932.1,$327.9,$1790.6,15902,$2932.1,$327.9,$5931.2,$3319.2,11.2%,5.5%,9.9%,61.21,21.9%,-20.7%,20.1%,0.6%,4.1%,10.4%,
U.S.,Calhoun Tenn.,Forest and Paper Products,Yves Laflamme,https://www.resolutefp.com,Public,RFP,$2923,$-47,$109.2,6700,$2923,$-47,$3626,$1234,-1.6%,-1.3%,-3.8%,-0.51,-120.2%,-,-,-47%,-22.3%,-,
U.S.,St. Louis Mo.,Specialty Retailers: Apparel,Diane M. Sullivan,https://www.caleres.com,Public,CAL,$2921.6,$62.8,$208.2,11400,$2921.6,$62.8,$2431.7,$646,2.2%,2.6%,9.7%,1.53,-,-4.1%,21.4%,-13.7%,-4.9%,10.8%,
U.S.,Bethesda Md.,Real estate,Gary D. Kain,https://www.agnc.com,Public,AGNC,$2920,$688,$5723.2,51,$2920,$688,$113082,$11041,23.6%,0.6%,6.2%,1.16,452.4%,-,-16.2%,13.3%,7.8%,10.7%,
U.S.,Chicago Ill.,Medical Products and Equipment,John P. Groetelaars,https://www.hill-rom.com,Public,HRC,$2907.3,$152.2,$6739.3,10000,$2907.3,$152.2,$4919,$1573.3,5.2%,3.1%,9.7%,2.25,-39.7%,16.7%,-,29.2%,21.2%,18.3%,
U.S.,East Aurora N.Y.,Aerospace & Defense,John R. Scannell,https://www.moog.com,Public,MOGA,$2904.7,$179.7,$1713.1,12809,$2904.7,$179.7,$3114.2,$1322.5,6.2%,5.8%,13.6%,5.11,90.7%,7.7%,9.9%,11.4%,3.3%,11.5%,
U.S.,Baltimore Md.,Securities,Matthew Nicholls,https://www.leggmason.com,Private,,$2903.3,$-28.5,$4244.7,3246,$2903.3,$-28.5,$7794.1,$3659.8,-1%,-0.4%,-0.8%,-0.38,-112.6%,-,-,47.1%,-4.8%,3.9%,
U.S.,Dallas Texas,Utilities: Gas and Electric,John K. Akers,https://www.atmosenergy.com,Public,ATO,$2901.8,$511.4,$12132.5,4776,$2901.8,$511.4,$13367.6,$5750.2,17.6%,3.8%,8.9%,4.35,-19.9%,8%,7.7%,23.1%,17.7%,17.9%,
U.S.,Fort Collins Colo.,Aerospace & Defense,Thomas A. Gendron,https://www.woodward.com,Public,WWD,$2900.2,$259.6,$3698.1,9023,$2900.2,$259.6,$3956.5,$1726.7,9%,6.6%,15%,4.02,42.6%,10.4%,11.4%,60.4%,20.1%,17.4%,
U.S.,Santa Clara Calif.,Network and Other Communications Equipment,Nikesh Arora,https://www.paloaltonetworks.com,Public,PANW,$2899.6,$-81.9,$16347.6,7014,$2899.6,$-81.9,$6592.2,$1586.3,-2.8%,-1.2%,-5.2%,-0.87,-,-,-,22.8%,13.5%,-,
U.S.,St. Paul Minn.,Chemicals,James J. Owens,https://www.hbfuller.com,Public,FUL,$2897,$130.8,$1435.9,6369,$2897,$130.8,$3985.7,$1222.3,4.5%,3.3%,10.7%,2.52,-23.4%,21%,4%,22.5%,4.3%,9.8%,
U.S.,Cambridge Mass.,Internet Services and Retailing,F. Thomson Leighton,https://www.akamai.com,Public,AKAM,$2893.6,$478,$14810.6,7724,$2893.6,$478,$7006.9,$3658,16.5%,6.8%,13.1%,2.9,64.8%,9.5%,14%,41.4%,6.5%,13%,
U.S.,Santa Clara Calif.,Information Technology Services,James M. Chirico Jr.,https://www.avaya.com,Public,AVYA,$2887,$-671,$770.9,7900,$2887,$-671,$6950,$1300,-23.2%,-9.7%,-51.6%,-6.06,-,-,-,-7.3%,-,-,
U.S.,Reston Va.,Information Technology Services,Bruce L. Caswell,https://www.maximus.com,Public,MMS,$2886.8,$240.8,$3721.5,29600,$2886.8,$240.8,$1745.7,$1247.8,8.3%,13.8%,19.3%,3.72,11%,12%,19.1%,15.9%,6.9%,20.3%,
U.S.,Waltham Mass.,ScientificPhotographic and Control Equipment,Prahlad R. Singh,https://www.perkinelmer.com,Public,PKI,$2883.7,$227.6,$8379,13000,$2883.7,$227.6,$6538.6,$2813.8,7.9%,3.5%,8.1%,2.04,-4.2%,8%,10.8%,24%,17.8%,17.6%,
U.S.,Honolulu Hawaii,Utilities: Gas and Electric,Constance H. Lau,https://www.hei.com,Public,HE,$2874.6,$217.9,$4698.7,3841,$2874.6,$217.9,$13745.3,$2280.3,7.6%,1.6%,9.6%,1.99,7.6%,3.9%,8.1%,31.5%,10.9%,13.1%,
U.S.,Kansas City Mo.,Railroads,Patrick J. Ottensmeyer,https://www.kcsouthern.com,Public,KSU,$2866,$538.9,$12228.5,7040,$2866,$538.9,$9786.8,$4422.5,18.8%,5.5%,12.2%,5.4,-11.9%,3.5%,24.4%,62.5%,6.1%,17.6%,
U.S.,Crystal Lake Ill.,Packaging Containers,Stephan B. Tanda,https://www.aptar.com,Public,ATR,$2859.7,$242.2,$6474.7,14000,$2859.7,$242.2,$3562.1,$1571.9,8.5%,6.8%,15.4%,3.66,22%,5.1%,7.4%,24.5%,13.3%,14.2%,
U.S.,Glendale Calif.,Real estate,Joseph D. Russell Jr.,https://www.publicstorage.com,Public,PSA,$2846.8,$1520.5,$34684.6,5900,$2846.8,$1520.5,$11365.4,$9062.9,53.4%,13.4%,16.8%,7.29,-14.6%,6.8%,7.7%,9%,6.5%,13.8%,
U.S.,Branchville N.J.,Insurance: Property and Casualty (Stock),John J. Marchioni,https://www.selective.com,Public,SIGI,$2846.5,$271.6,$2967.5,2400,$2846.5,$271.6,$8797.2,$2194.9,9.5%,3.1%,12.4%,4.53,51%,12.9%,20.9%,8.2%,20.9%,17.2%,
U.S.,White Plains N.Y.,Industrial Machinery,Luca Savi,https://www.itt.com,Public,ITT,$2846.4,$325.1,$3992.8,10500,$2846.4,$325.1,$4107.7,$2074.9,11.4%,7.9%,15.7%,3.67,-2.4%,13%,-6.3%,54.5%,14.1%,16.7%,
U.S.,Minneapolis Minn.,Industrial Machinery,Tod E. Carpenter,https://www.donaldson.com,Public,DCI,$2844.9,$267.2,$4897.2,14100,$2844.9,$267.2,$2142.6,$887.3,9.4%,12.5%,30.1%,2.05,50.7%,3.1%,9.4%,34.9%,10.2%,12.1%,
U.S.,Tysons Va.,Real estate,Thomas J. Baltimore Jr.,https://www.pkhotelsandresorts.com,Public,PK,$2844,$306,$1898.3,488,$2844,$306,$11290,$6496,10.8%,2.7%,4.7%,1.44,-37.7%,-,-,8.3%,-,-,
U.S.,Houston Texas,Shipping,David W. Grzebinski,https://www.kirbycorp.com,Public,KEX,$2838.4,$142.3,$2608.1,5550,$2838.4,$142.3,$6079.1,$3368.6,5%,2.3%,4.2%,2.37,80.9%,-13.6%,0.1%,32.9%,2.1%,9.9%,
U.S.,Honolulu Hawaii,Airlines,Peter R. Ingram,https://www.hawaiianairlines.com,Public,HA,$2832.2,$224,$479.7,7437,$2832.2,$224,$4126.6,$1081.8,7.9%,5.4%,20.7%,4.71,1.9%,33.8%,7.8%,12.9%,3%,15.8%,
U.S.,Hato Rey Puerto Rico,Commercial Banks,Ignacio Alvarez,https://www.popular.com,Public,BPOP,$2830.7,$671.1,$3103.3,8560,$2830.7,$671.1,$52115.3,$6016.8,23.7%,1.3%,11.2%,6.88,13.5%,-,11.1%,27.2%,13.6%,11%,
U.S.,Fort Worth Texas,Mining Crude-Oil Production,Jeffrey L. Ventura,https://www.rangeresources.com,Public,RRC,$2827.6,$-1716.3,$580.8,655,$2827.6,$-1716.3,$6612.4,$2347.5,-60.7%,-26%,-73.1%,-6.92,-,-,-,-48.6%,-37.7%,-20.4%,
U.S.,Merrimack N.H.,Wholesalers: Electronics and Office Equipment,Timothy J. McGrath,https://www.connection.com,Public,CNXN,$2820,$82.1,$1085.7,2609,$2820,$82.1,$937.3,$597.3,2.9%,8.8%,13.7%,3.1,28.6%,14%,-,68.7%,16.4%,24%,
U.S.,Lincoln R.I.,Insurance: Property and Casualty (Mutual),Robert A. DiMuccio,https://www.amica.com,Private,,$2808.5,$173.3,$,3983,$2808.5,$173.3,$6382.9,$2782.9,6.2%,2.7%,6.2%,-,-,-,-,-,-,-,
U.S.,Reading Pa.,Electronics Electrical Equip.,David M. Shaffer,https://www.enersys.com,Public,ENS,$2808,$160.2,$2095.1,11000,$2808,$160.2,$3118.2,$1282.3,5.7%,5.1%,12.5%,3.73,34.7%,4.3%,8.1%,-2.6%,5%,13.9%,
U.S.,Tulsa Okla.,Oil and Gas Equipment Services,John W. Lindsay,https://www.hpinc.com,Public,HP,$2798.5,$-33.7,$1703.9,8502,$2798.5,$-33.7,$5839.5,$4012.2,-1.2%,-0.6%,-0.8%,-0.34,-107.8%,-,-,1%,-2.9%,4.5%,
U.S.,#N/A,Insurance: Life Health (stock),Mehran Assadi,https://www.nationallife.com,Private,,$2772.1,$223.5,$,1278,$2772.1,$223.5,$35766.1,$3646.4,8.1%,0.6%,6.1%,-,-,-,-,-,-,-,
U.S.,Omaha Neb.,Metals,Stephen G. Kaniewski,https://www.valmont.com,Public,VMI,$2767,$153.8,$2281.1,9862,$2767,$153.8,$2763.4,$1111.5,5.6%,5.6%,13.8%,7.06,68.1%,-0.1%,2.1%,36.6%,4.6%,7.7%,
U.S.,Falls Church Va.,Aerospace & Defense,John E. Heller,https://www.pae.com,Public,PAE,$2763.9,$-49.8,$597.3,20000,$2763.9,$-49.8,$1371.3,$-43.8,-1.8%,-3.6%,-,-,-,-,-,6.4%,-,-,
U.S.,Louisville Ky.,Food Services,W. Kent Taylor,https://www.texasroadhouse.com,Public,TXRH,$2756.2,$174.5,$2866.5,35554,$2756.2,$174.5,$1983.6,$916,6.3%,8.8%,19%,2.46,11.8%,14.9%,13.9%,-3.6%,12.9%,19.6%,
U.S.,Findlay Ohio,Motor Vehicles & Parts,Bradley E. Hughes,https://www.coopertire.com,Public,CTB,$2752.6,$96.4,$819.3,8720,$2752.6,$96.4,$2802.3,$1264.6,3.5%,3.4%,7.6%,1.91,26.5%,-11%,8.4%,-9.8%,-2.4%,5.4%,
U.S.,Leawood Kans.,Financial Data Services,Michael J. Brown,https://www.euronetworldwide.com,Public,EEFT,$2750.1,$346.7,$4587.7,7700,$2750.1,$346.7,$4657.7,$1579.3,12.6%,7.4%,22%,6.31,48.1%,27.3%,26.7%,53.9%,23.5%,21.8%,
U.S.,Seattle Wash.,Internet Services and Retailing,Richard N. Barton,https://www.zillowgroup.com,Public,ZG,$2742.8,$-305.4,$7411.2,5249,$2742.8,$-305.4,$6132,$3435.4,-11.1%,-5%,-8.9%,-1.48,-,-,-,45.5%,5.3%,-,
U.S.,Purchase N.Y.,Transportation and Logistics,John W. Dietrich,https://www.atlasair.com,Public,AAWW,$2739.2,$-293.1,$666.3,3587,$2739.2,$-293.1,$5385.6,$1792.2,-10.7%,-5.4%,-16.4%,-11.35,-317.4%,-,-,-34.7%,-11%,-3%,
U.S.,St. Louis Mo.,Household and Personal Products,Alan R. Hoskins,https://www.energizerholdings.com,Public,ENR,$2729.6,$51.1,$2100.3,7500,$2729.6,$51.1,$5449.6,$543.8,1.9%,0.9%,9.4%,0.58,-61.8%,-,-,14.2%,-,-,
U.S.,Tulsa Okla.,Pipelines,Michael N. Mears,https://www.magellanlp.com,Public,MMP,$2727.9,$1020.8,$8309.7,1884,$2727.9,$1020.8,$8437.7,$2715,37.4%,12.1%,37.6%,4.46,-23.6%,3.9%,14.9%,17.6%,-0.3%,16.8%,
U.S.,Lake Success N.Y.,Food Consumer Products,Mark L. Schiller,https://www.hain.com,Public,HAIN,$2710.6,$-183.3,$2710.9,5441,$2710.6,$-183.3,$2582.6,$1519.3,-6.8%,-7.1%,-12.1%,-1.76,-2055.6%,-,-,63.7%,-14.9%,11.8%,
U.S.,New York N.Y.,Entertainment,Vincent L. Sadusky,https://corporate.univision.com,Private,,$2703.8,$286.8,$,4500,$2703.8,$286.8,$9320.7,$356.7,10.6%,3.1%,80.4%,-,-,-,-,-,-,-,
U.S.,Chicago Ill.,Real estate,Mark J. Parrell,https://www.equityapartments.com,Public,EQR,$2701.1,$970.4,$22954.8,2700,$2701.1,$970.4,$21172.8,$10315.5,35.9%,4.6%,9.4%,2.6,46.9%,8.5%,7.4%,26.2%,8.9%,14.3%,
U.S.,Indianapolis Ind.,Motor Vehicles & Parts,David S. Graziosi,https://www.allisontransmission.com,Public,ALSN,$2698,$604,$3818.5,3700,$2698,$604,$4450,$781,22.4%,13.6%,77.3%,4.91,2.7%,31.5%,-,11.5%,9.2%,-,
U.S.,Los Angeles Calif.,Real estate,Marc C. Ganzi,https://www.clny.com,Public,CLNY,$2689.6,$-1048.8,$852.9,400,$2689.6,$-1048.8,$19832.2,$5216,-39%,-5.3%,-20.1%,-2.41,-,-,-,10%,-21.6%,-,
U.S.,Santa Ana Calif.,Semiconductors and Other Electronic Components,Thomas T. Edman,https://www.ttm.com,Public,TTMI,$2689.3,$41.3,$1095.6,25700,$2689.3,$41.3,$3560.9,$1279,1.5%,1.2%,3.2%,0.39,-71.7%,16.7%,13.5%,54.7%,14.9%,2.7%,
U.S.,San Antonio Texas,Advertising marketing,C. William Eccleshare,https://www.clearchanneloutdoor.com,Public,CCO,$2683.8,$-363.3,$298.5,5900,$2683.8,$-363.3,$6393.3,$-2207.5,-13.5%,-5.7%,-,-0.88,-,-,-,-44.9%,-14.4%,-2.8%,
U.S.,Los Angeles Calif.,Specialty Retailers: Apparel,Carlos E. Alberini,https://www.guess.com,Public,GES,$2678.1,$96,$444.4,15800,$2678.1,$96,$2429,$639.7,3.6%,4%,15%,1.33,731.3%,3.7%,-6.5%,11.8%,6.4%,-1.7%,
U.S.,Plano Texas,Specialty Retailers: Other,Mitchell E. Fadel,https://www.rentacenter.com,Public,RCII,$2669.9,$173.5,$781,14500,$2669.9,$173.5,$1582.8,$459,6.5%,11%,37.8%,3.1,1837.5%,11.4%,2.1%,79.9%,-2.5%,7.1%,
U.S.,New York N.Y.,Entertainment,Strauss H. Zelnick,https://www.take2games.com,Public,TTWO,$2668.4,$333.8,$13453.3,4894,$2668.4,$333.8,$4243.1,$2040.6,12.5%,7.9%,16.4%,2.9,88.3%,-1.9%,-,18.9%,34.3%,28.4%,
U.S.,Malvern Pa.,Semiconductors and Other Electronic Components,Gerald Paul,https://www.vishay.com,Public,VSH,$2668.3,$163.9,$2084.3,22400,$2668.3,$163.9,$3120.8,$1485.1,6.1%,5.3%,11%,1.13,-49.6%,8%,-,20.7%,10.5%,16.5%,
U.S.,Chicago Ill.,Financial Data Services,Christopher A. Cartwright,https://www.transunion.com,Public,TRU,$2656.1,$346.9,$12560,8000,$2656.1,$346.9,$7113.2,$2245.4,13.1%,4.9%,15.4%,1.81,24.8%,-,-,51.3%,-,-,
U.S.,San Ramon Calif.,Medical Products and Equipment,Albert G. White III,https://www.coopercos.com,Public,COO,$2653.4,$466.7,$14701.6,12000,$2653.4,$466.7,$6274.5,$3628.4,17.6%,7.4%,12.9%,9.33,232%,11.1%,15.5%,26.3%,14.7%,23.8%,
U.S.,Atlanta Ga.,Financial Data Services,Ronald F. Clarke,https://www.fleetcor.com,Public,FLT,$2648.8,$895.1,$15935.9,8700,$2648.8,$895.1,$12248.5,$3711.6,33.8%,7.3%,24.1%,9.94,12.8%,18.6%,-,54.9%,14.1%,-,
U.S.,Corte Madera Calif.,Specialty Retailers: Other,Gary G. Friedman,https://www.rh.com,Public,RH,$2647.4,$220.4,$1932.9,4750,$2647.4,$220.4,$2445.7,$18.7,8.3%,9%,1181.6%,9.07,59.7%,32.8%,-,78.2%,17.3%,-,
U.S.,Ames Iowa,Petroleum Refining,Cynthia J. Warner,https://www.regi.com,Public,REGI,$2643.2,$380.1,$801,829,$2643.2,$380.1,$1785.3,$1131.9,14.4%,21.3%,33.6%,8.78,35.5%,34.6%,-,4.9%,22.7%,-,
U.S.,Marietta Ga.,Wholesalers: Diversified,Mitchell B. Lewis,https://www.bluelinxco.com,Public,BXC,$2637.3,$-17.7,$46.4,2189,$2637.3,$-17.7,$971.4,$-26.1,-0.7%,-1.8%,-,-1.89,-,-,-,-42.3%,4.2%,-6.4%,
U.S.,Santa Clarita Calif.,Mining Crude-Oil Production,Todd A. Stevens,https://www.crc.com,Public,CRC,$2634,$-28,$49.4,1250,$2634,$-28,$6958,$-389,-1.1%,-0.4%,-,-0.57,-108.4%,-,-,-47%,-30.3%,-,
U.S.,Daytona Beach Fla.,Engineering Construction,Gerald Volas,https://www.topbuild.com,Public,BLD,$2624.1,$191,$2400.1,10400,$2624.1,$191,$2604,$1152.9,7.3%,7.3%,16.6%,5.56,47.1%,-,-,129.1%,-,-,
U.S.,Wilmington Mass.,Health Care: Pharmacy and Other Services,James C. Foster,https://www.criver.com,Public,CRL,$2621.2,$252,$6245.5,17100,$2621.2,$252,$4692.8,$1634.6,9.6%,5.4%,15.4%,5.07,9.7%,13.8%,11.3%,35%,19.1%,16.3%,
U.S.,Houston Texas,Engineering Construction,Brian E. Lane,https://www.comfortsystemsusa.com,Public,FIX,$2615.3,$114.3,$1338.2,12000,$2615.3,$114.3,$1505,$585.3,4.4%,7.6%,19.5%,3.08,2.7%,38.2%,13.2%,15.1%,24.9%,16.4%,
U.S.,Jersey City N.J.,Financial Data Services,Scott G. Stephenson,https://www.verisk.com,Public,VRSK,$2607.1,$449.9,$22729.5,9180,$2607.1,$449.9,$7055.2,$2260.8,17.3%,6.4%,19.9%,2.7,-24.2%,2.6%,14.5%,37.9%,18.6%,17.4%,
U.S.,San Diego Calif.,Medical Products and Equipment,Michael J. Farrell,https://www.resmed.com,Public,RMD,$2606.6,$404.6,$21300.6,7240,$2606.6,$404.6,$4107.7,$2072.2,15.5%,9.8%,19.5%,2.8,27.9%,3.2%,11.4%,37.8%,24.6%,21.1%,
U.S.,Wayne Pa.,Medical Products and Equipment,Liam J. Kelly,https://www.teleflex.com,Public,TFX,$2595.4,$461.5,$13580.1,14400,$2595.4,$461.5,$6309.8,$2979.3,17.8%,7.3%,15.5%,9.8,128.4%,19.4%,2.6%,46.2%,27.7%,23.1%,
