Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,St. Louis Mo.,Industrial Machinery,David N. Farr,https://www.emerson.com,Public,EMR,$18372,$2306,$29154.2,88000,$18372,$2306,$20497,$8233,12.6%,11.3%,28%,3.71,7.2%,4.1%,5%,31.4%,7.7%,9.2%,
U.S.,Atlanta Ga.,Packaging Containers,Steven C. Voorhees,https://www.westrock.com,Public,WRK,$18289,$862.9,$7304,51100,$18289,$862.9,$30156.7,$11669.9,4.7%,2.9%,7.4%,3.33,-54.6%,0.2%,1.5%,19.4%,-1.5%,9.2%,
U.S.,Lincolnshire Ill.,Information Technology Services,Christine A. Leahy,https://www.cdw.com,Public,CDW,$18032.4,$736.8,$13316.3,9900,$18032.4,$736.8,$7999.4,$960.3,4.1%,9.2%,76.7%,4.99,19.1%,28.6%,-,78.2%,33.7%,-,
U.S.,Chicago Ill.,Real estate,Christian Ulbrich,https://www.jll.com,Public,JLL,$17983.2,$535.3,$5207.1,93400,$17983.2,$535.3,$13672.6,$5118.1,3%,3.9%,10.5%,10.87,3.1%,5%,-,38.3%,3.6%,11.7%,
U.S.,Cleveland Ohio,Chemicals,John G. Morikis,https://www.sherwin-williams.com,Public,SHW,$17900.8,$1541.3,$42185.8,61111,$17900.8,$1541.3,$20496.2,$4123.3,8.6%,7.5%,37.4%,16.49,41.3%,13.4%,15.9%,49.3%,18.4%,26.7%,
U.S.,Irving Texas,Engineering Construction,Carlos M. Hernandez,https://www.fluor.com,Public,FLR,$17817.2,$-1305,$968.6,53349,$17817.2,$-1305,$7883.7,$1559.5,-7.3%,-16.6%,-83.7%,-9.32,-686.2%,-,-,-39.6%,-19.3%,-7%,
U.S.,San Jose Calif.,Financial Data Services,Daniel H. Schulman,https://www.paypal.com,Public,PYPL,$17772,$2459,$112298.8,23200,$17772,$2459,$51333,$16885,13.8%,4.8%,14.6%,2.07,21.1%,-,-,28.6%,-,-,
U.S.,Arlington Texas,Homebuilders,David V. Auld,https://www.drhorton.com,Public,DHI,$17592.9,$1618.5,$12456.4,8916,$17592.9,$1618.5,$15606.6,$10020.9,9.2%,10.4%,16.2%,4.29,12.6%,23.4%,-,54.2%,17.2%,18.4%,
U.S.,Dallas Texas,Petroleum Refining,Michael C. Jennings,https://www.hollyfrontier.com,Public,HFC,$17486.6,$772.4,$3967.8,4074,$17486.6,$772.4,$12164.8,$5978.2,4.4%,6.3%,12.9%,4.61,-25.5%,26.6%,37.2%,1.8%,9.8%,20.2%,
U.S.,Lake Forest Ill.,Motor Vehicles & Parts,Brian J. Kesseler,https://www.tenneco.com,Public,TEN,$17450,$-334,$292.3,78000,$17450,$-334,$13226,$1425,-1.9%,-2.5%,-23.4%,-4.12,-543%,-,-,-52.2%,-24.7%,-2.6%,
U.S.,Houston Texas,Mining Crude-Oil Production,William R. Thomas,https://www.eogresources.com,Public,EOG,$17380,$2734.9,$20907.4,2900,$17380,$2734.9,$37124.6,$21640.7,15.7%,7.4%,12.6%,4.71,-20%,-2.4%,15.8%,-2.8%,-1.1%,6.3%,
U.S.,Franklin Lakes N.J.,Medical Products and Equipment,Thomas E. Polan,https://www.bd.com,Public,BDX,$17290,$1233,$62307.5,70093,$17290,$1233,$51765,$21079,7.1%,2.4%,5.8%,3.94,556.7%,-8%,-2.3%,22.2%,16%,15.3%,
U.S.,Radnor Pa.,Insurance: Life Health (stock),Dennis R. Glass,https://www.lfg.com,Public,LNC,$17258,$886,$5142.2,11357,$17258,$886,$334761,$19689,5.1%,0.3%,4.5%,4.38,-40.8%,-5%,-,17.8%,2.4%,10.6%,
U.S.,San Francisco Calif.,Utilities: Gas and Electric,William Smith,https://www.pgecorp.com,Public,PCG,$17129,$-7656,$4762.8,23000,$17129,$-7656,$85196,$5136,-44.7%,-9%,-149.1%,-14.5,-,-,-,-54.2%,-25.8%,-10.5%,
U.S.,San Francisco Calif.,Computer Software,Marc R. Benioff,https://www.salesforce.com,Public,CRM,$17098,$126,$128862.1,49000,$17098,$126,$55126,$33885,0.7%,0.2%,0.4%,0.15,-89.5%,-,-0.5%,18.7%,22.4%,24.3%,
U.S.,Purchase N.Y.,Financial Data Services,Ajay Banga,https://www.mastercard.com,Public,MA,$16883,$8118,$242794.1,18600,$16883,$8118,$29236,$5893,48.1%,27.8%,137.8%,7.94,41.8%,20.7%,21.7%,59.1%,29.1%,28.5%,
U.S.,Minneapolis Minn.,Food Consumer Products,Jeffrey L. Harmening,https://www.generalmills.com,Public,GIS,$16865.2,$1752.7,$31986,40000,$16865.2,$1752.7,$30111.2,$7054.5,10.4%,5.8%,24.8%,2.9,-20.3%,0.5%,4.3%,43%,3.7%,7.7%,
