Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),Revenues ($M)_cat,Profits ($M)_cat,Market Value ($M)_cat,Employees_cat,Assets ($M)_cat,Total Stockholder Equity ($M)_cat,Earnings Per Share ($)_cat,Revenues ($M)_cat_1,Revenues ($M)_cat_2,Revenues ($M)_cat_3,Revenues ($M)_cat_4,Revenues ($M)_cat_5,Profits ($M)_cat_1,Profits ($M)_cat_2,Profits ($M)_cat_3,Profits ($M)_cat_4,Profits ($M)_cat_5,Market Value ($M)_cat_1,Market Value ($M)_cat_2,Market Value ($M)_cat_3,Market Value ($M)_cat_4,Market Value ($M)_cat_5,Employees_cat_1,Employees_cat_2,Employees_cat_3,Employees_cat_4,Employees_cat_5,Assets ($M)_cat_1,Assets ($M)_cat_2,Assets ($M)_cat_3,Assets ($M)_cat_4,Assets ($M)_cat_5,Total Stockholder Equity ($M)_cat_1,Total Stockholder Equity ($M)_cat_2,Total Stockholder Equity ($M)_cat_3,Total Stockholder Equity ($M)_cat_4,Total Stockholder Equity ($M)_cat_5,Earnings Per Share ($)_cat_1,Earnings Per Share ($)_cat_2,Earnings Per Share ($)_cat_3,Earnings Per Share ($)_cat_4,Earnings Per Share ($)_cat_5
U.S.,Pittsburgh Pa.,Energy,Toby Z. Rice,https://www.eqt.com,Public,EQT,4416.5,-1221.7,1806.1,647,18809.2,9803.6,-27.7,-6.5,-12.5,-4.79,0.0,0.0,0.0,-41.7,-23.0,-6.8,3,1,2,1,5,5,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
U.S.,Grand Rapids Mich.,Building Materials Glass,Matthew J. Missad,https://www.ufpi.com,Public,UFPI,4416.0,179.7,2296.8,12000,1889.5,1243.7,4.1,9.5,14.4,2.91,21.3,25.0,21.5,85.5,23.2,15.8,3,3,2,3,1,2,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
U.S.,North Canton Ohio,Computers Office Equipment,Gerrard B. Schmid,https://www.dieboldnixdorf.com,Public,DBD,4408.7,-341.3,272.8,22000,3790.6,-530.3,-7.7,-9.0,0.0,-4.45,0.0,0.0,0.0,324.1,-19.7,-7.0,3,1,1,4,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
U.S.,Denver Colo.,Mining Crude-Oil Production,Paul M. Rady,https://www.anteroresources.com,Public,AR,4408.7,-340.1,204.4,547,15197.6,6970.7,-7.7,-2.2,-4.9,-1.11,0.0,0.0,0.0,-69.6,-41.2,0.0,3,1,1,1,5,5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
U.S.,Troy Mich.,Motor Vehicles & Parts,Jeffrey A. Craig,https://www.meritor.com,Public,MTOR,4388.0,291.0,979.3,9100,2815.0,385.0,6.6,10.3,75.6,3.37,163.3,6.1,0.0,54.9,11.6,8.9,3,3,1,3,2,1,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
U.S.,Lake Success N.Y.,Financial Data Services,Timothy C. Gokey,https://www.broadridge.com,Public,BR,4362.2,482.1,10886.7,11000,3880.7,1127.5,11.1,12.4,42.8,4.06,14.0,13.9,9.9,30.7,24.0,21.2,3,4,4,3,2,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
U.S.,Ewing N.J.,Household and Personal Products,Matthew T. Farrell,https://www.churchdwight.com,Public,CHD,4357.7,615.9,15773.9,4800,6657.4,2667.8,14.1,9.3,23.1,2.44,7.5,10.1,11.1,8.3,14.0,18.4,3,4,5,2,3,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
U.S.,Orlando Fla.,Hotels Casinos Resorts,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,Public,VAC,4355.0,138.0,2280.3,22000,9214.0,3019.0,3.2,1.5,4.6,3.09,91.9,5.8,0.0,86.4,13.3,0.0,3,2,2,4,4,4,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
U.S.,Irvine Calif.,Medical Products and Equipment,Michael A. Mussallem,https://www.edwards.com,Public,EW,4348.0,1046.9,39105.8,13900,6488.1,4148.3,24.1,16.1,25.2,4.93,45.9,5.7,17.6,52.3,29.6,26.8,3,5,5,4,3,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
U.S.,Annapolis Junction Md.,Industrial Machinery,Matthew L. Trerotola,https://www.colfaxcorp.com,Public,CFX,4326.3,-527.6,2339.3,15000,7386.8,3441.4,-12.2,-7.1,-15.3,-3.89,-435.3,0.0,0.0,74.1,-6.7,11.7,3,1,2,4,4,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
